ID,type,name,icon,question,answer
1,0,职业,zhiye,多少级能转职？,25级可以在酒馆转职成为忍者、剑士、咒术师，30级可以在酒馆转职成为巫师、骑士、武僧。
2,0,职业,zhiye,得意技有什么用？,非得意技只能升到2级，只有得意技能提升到更高的等级。
3,0,职业,zhiye,职业进阶有什么用？,初始职业得意技可以升到4级，一阶职业得意技可以升到6级，二阶职业得意技可以升到8级。
4,0,职业,zhiye,技能为什么不能升级了？,非得意技只能升到2级，只有得意技能提升到更高的等级。初始职业得意技可以升到4级，一阶职业得意技可以升到6级，二阶职业得意技可以升到8级。除此之外，技能等级上限还与角色等级有关。
5,0,职业,zhiye,佣兵的得意技有哪些？,佣兵的得意技有连击、狂暴、破防、神圣突击、魔能摄取和自体再生。
6,0,职业,zhiye,猎人的得意技有哪些？,猎人的得意技有乱射、守护、自体再生。
7,0,职业,zhiye,法师的得意技有哪些？,法师的得意技有落石、冰冻、火焰、风刃、十字落石、十字冰冻、十字火焰、十字风刃、全体落石、全体冰冻、全体火焰、全体风刃和吸血。
8,0,职业,zhiye,牧师的得意技有哪些？,牧师的得意技有回复、十字回复、全体回复和复活。
9,0,职业,zhiye,忍者的得意技有哪些？,忍者的得意技有刺杀、抗催眠、抗石化、抗酒饮、抗混乱、抗毒。
10,0,职业,zhiye,剑士的得意技有哪些？,剑士的得意技有连击、狂暴、神圣突击、自体再生、神圣护盾。
11,0,职业,zhiye,咒术师的得意技有哪些？,咒术师的得意技有催眠、石化、酒饮、混乱、毒、十字催眠、十字石化、十字酒饮、十字混乱、十字毒、全体催眠、全体石化、全体酒饮、全体混乱、全体毒。
12,0,职业,zhiye,巫师的得意技有哪些？,巫师的得意技有净化、恢复、十字恢复、全体恢复物理吸收、物理反弹、物理无效、法术吸收、法术反弹、法术无效。
13,0,职业,zhiye,骑士的得意技有哪些？,骑士的得意技有连击、狂暴、反击、神圣突击、自体再生、守护。
14,0,职业,zhiye,武僧的得意技有哪些？,武僧的得意技有反击、破防、元气爆、魔能摄取、自体再生、守护。
15,0,职业,zhiye,为什么不能学习技能？,每个职业只能学习10个技能。有些技能只有特定职业能学习，比如猎人的乱射，忍者的刺杀。
16,0,职业,zhiye,为什么技能特别少？,各职业除了可以学习自己职业的得意技，还能学习各种其他技能。比如攻击技能，攻击魔法，状态魔法，辅助魔法等。
17,0,职业,zhiye,为什么转职之后不能穿装备？,各个职业能装备的护甲类型都不同，只能装备本职业的装备，其中忍者职业不能装备衣服、帽子、鞋子。
18,0,职业,zhiye,为什么转职之后不能拿武器？,每个职业能装备的武器都不同，只能拿本职业的武器，其中武僧不能拿武器。
19,0,职业,zhiye,不同等级的状态魔法效果有什么不同？,状态魔法等级越高，成功率越高，状态持续的越长，魔法消耗越多。
20,1,神器,09,神器怎么升级？,神器可以吸收武器装备来获取经验升级，越好的装备提供的经验越多。
21,1,神器,09,神器到瓶颈了怎么办？,神器每5级会达到瓶颈，需要神器碎片来突破，突破之后才可以继续升级神器，并且可以增加10%的属性。
22,1,神器,09,哪里可以获得神器碎片？,玩家可以通过打百人道场来获得神器碎片，也可以在商城购买。
23,2,伙伴,05,伙伴如何升级？,伙伴的等级和人物等级相同，人物等级提升，伙伴等级也会相应提升。
24,2,伙伴,05,伙伴技能如何升级？,升级伙伴技能需要佣兵碎片，解雇伙伴可以获得佣兵碎片。
25,2,伙伴,05,如何获取伙伴？,在酒馆可以花费金币或钻石招募伙伴，完成英雄公会的任务线也可以获得伙伴。
26,2,伙伴,05,伙伴装备怎么获取？,主线任务可以获得伙伴装备，也可以通过制造来获得伙伴装备。
27,2,伙伴,05,伙伴怎么升星？,当伙伴装备一整套装备后就能升星。
28,2,伙伴,05,伙伴怎么进阶？,获得足够多数量相同的伙伴才能进阶。
