ID,question,answer1,answer2,answer3,answer4,answer
1001,《聊斋志异》的作者是谁？,曹雪芹,蒲松龄,施耐庵,笑笑生,2
1002,四大名亭中的陶然亭是因为谁的诗句得名的？,欧阳修,白居易,陶渊明,杜牧,2
1003,“垂帘听政”始于何时？,宋朝,元朝,唐朝,清朝,3
1004,排球1895年始于那个国家？,日本,英国,荷兰,美国,4
1005,乒乓球十九世纪始于那个国家？,中国,瑞典,法国,英国,4
1006,历史剧《屈原》是谁的作品？,胡适,郭沫若,矛盾,郁达夫,2
1007,小说《沉沦》是谁的作品？,矛盾,郁达夫,郭沫若,老舍,2
1008,“碧云天，黄叶地，北雁南飞”语出：,《墙头马上》,《窦娥冤》,《西厢记》,《牡丹亭》,3
1009,王安石变法发生在宋朝哪个皇帝在位期间？,仁宗,神宗,哲宗,高宗,2
1010,古人所谓“黄道”是哪种天体运行周年的轨道？,金星,月亮,太阳,地球,3
1011,下列哪个是酒类广告中不应出现的内容？,倡导人们饮酒,饮酒后的表情,未成年人饮酒,驾驶汽车,4
1012,《指环王》中的指环可以让人？,不死,隐身,透视,施展魔法,2
1013,以下哪些作品不是宫崎骏的作品？,千与千寻的神隐,龙猫,红发少女安妮,天空的守护神,4
1014,雪莲花的颜色是：,深红色,粉色,白色,黄色,1
1015,“草圣”是指那位书法家？,张旭,王羲之,张芝,怀素,1
1016,在世界史上，“两河文明”中的两河是指幼发拉底河与：,底格里斯河,尼罗河,恒河,黄河,1
1017,中国第一座佛教寺院是哪一座？,北京潭柘寺,洛阳白马寺,五台山清凉寺,蒿山少林寺,2
1018,“孺子牛”原指：,小牛,小孩牵的牛,小孩牵人假扮的牛,小孩牵的小牛,3
1019,吉它有几根弦？,4根,6根,7根,9根,2
1020,“得道者多助，失道者寡助”出自哪一本古代典籍？,《左传》,《战国策》,《孟子》,《庄子》,3
1021,万里长城起于山海关，终止于：,玉门关,嘉峪关,居庸关,雁门关,2
1022,“百会穴”在：,两眉间,头顶正中,上唇正中,后脑上,2
1023,“五十步笑百步”出自：,《三国志》,《孟子》,《晏子春秋》,《三国演义》,2
1024,美丽的极光多出现在极地上空，这是因为：,极夜期间天空黑暗,地球磁场作用的结果,极地气候异常寒冷,太阳斜射极地高层大气,2
1025,《天龙八部》中的乔峰，身世埋在雁门关下。雁门关在：,新疆,宁夏,山西,陕西,3
1026,“业精于勤，而荒于嬉”是中国哪位古人提出来的思想？,孔子,孟子,柳宗元,韩愈,4
1027,“玫瑰王国”是指哪个国家？,罗马尼亚,保加利亚,法国,英国,2
1028,“琵琶”中的“琵”和“琶”最初指的是：,两种弹奏方法,两种乐器,两个人,两种植物,1
1029,康熙皇帝的庙号是：,仁宗,太宗,圣祖,世祖,3
1030,下面哪一个不属于长江三峡：,西陵峡,虎跳峡,瞿塘峡,巫峡,2
